date,value
1992.96,0
1992.985,-2.1
1993.01,0.1
1993.039,-2
1993.064,-4.8
1993.096,-5.7
1993.119,-3
1993.147,1.4
1993.175,2.6
1993.202,2.6
1993.229,2
1993.283,0
1993.311,4.8
1993.338,3.3
1993.365,4.5
1993.392,0.5
1993.419,0
1993.446,2.7
1993.474,5.5
1993.501,5.8
1993.528,5.9
1993.582,0.8
1993.61,2
1993.637,4.8
1993.664,5.8
1993.691,2.9
1993.717,0
1993.745,2.2
1993.772,6
1993.799,3.6
1993.854,3.2
1993.881,1.3
1993.908,2.1
1993.935,3.8
1993.963,8.7
1993.989,7.5
1994.017,1.5
1994.044,4.7
1994.071,6.3
1994.098,2.9
1994.126,1.7
1994.153,4.2
1994.18,8
1994.234,7
1994.261,8
1994.289,8.9
1994.316,9.1
1994.343,6.3
1994.37,4.8
1994.397,2.6
1994.424,5.8
1994.451,9.5
1994.506,3.4
1994.533,6.1
1994.56,6.2
1994.587,7
1994.615,6.5
1994.642,7.6
1994.669,6.2
1994.696,7.2
1994.723,5.3
1994.75,4.9
1994.777,5.5
1994.805,8.9
1994.832,8.3
1994.886,3.8
1994.913,1.9
1994.941,8.4
1994.968,10.1
1994.995,9.4
1995.022,10.3
1995.049,7.8
1995.076,13.4
1995.104,10.1
1995.131,6.3
1995.158,9.7
1995.212,13.8
1995.239,7.6
1995.267,9.8
1995.294,10.9
1995.321,10.1
1995.375,7.9
1995.402,10.2
1995.429,12.9
1995.457,10.7
1995.484,7
1995.538,4.6
1995.565,6.4
1995.592,6.8
1995.62,8.6
1995.647,6.6
1995.674,6.9
1995.701,10
1995.728,15.3
1995.756,9.8
1995.783,7.6
1995.837,7.3
1995.864,7
1995.89,9.5
1995.946,9
1995.973,13.4
1996,10.1
1996.027,7.9
1996.053,8.7
1996.081,8.1
1996.108,12.3
1996.163,12.1
1996.19,9.5
1996.217,11.9
1996.244,13.1
1996.271,11.2
1996.298,10.2
1996.325,10.5
1996.352,12.4
1996.379,12.5
1996.406,14.3
1996.433,13.6
1996.488,12.4
1996.515,12
1996.542,13.6
1996.569,15.2
1996.596,12.6
1996.623,9.4
1996.65,8.7
1996.677,6.5
1996.704,10.3
1996.732,12.3
1996.759,13.6
1996.813,16.9
1996.84,17.9
1996.867,15.2
1996.894,9.5
1996.921,10.1
1996.948,10.7
1996.975,6.7
1997.002,7.2
1997.03,11.4
1997.057,9.5
1997.084,10.9
1997.138,9.8
1997.165,10.8
1997.193,10.3
1997.22,12.7
1997.247,14.3
1997.274,13.3
1997.301,10.7
1997.328,13.4
1997.356,16
1997.383,14
1997.41,16.6
1997.464,12.9
1997.491,15.5
1997.519,16.6
1997.546,20.5
1997.573,17.4
1997.627,16.5
1997.654,17.3
1997.681,18.7
1997.709,21.6
1997.736,20.8
1997.79,17.5
1997.817,18.8
1997.845,19.8
1997.872,14.7
1997.899,13.5
1997.926,14.9
1997.953,11.4
1997.98,15.4
1998.008,14.8
1998.035,16.6
1998.089,15.1
1998.116,14.8
1998.143,15.3
1998.171,15.4
1998.198,17
1998.225,17.6
1998.252,14.7
1998.278,17.2
1998.306,16.9
1998.334,17
1998.361,15.4
1998.415,11.8
1998.442,12.5
1998.469,13.2
1998.497,15.5
1998.524,14.4
1998.551,11
1998.605,12
1998.632,9.8
1998.659,12.2
1998.687,11.5
1998.714,9.2
1998.741,9
1998.768,8.9
1998.823,12.1
1998.85,9.5
1998.877,8.3
1998.904,6.3
1998.931,12.5
1998.958,10.9
1998.986,11.8
1999.013,9.3
1999.04,12.2
1999.094,8
1999.125,21.4
1999.148,16.5
1999.176,15.2
1999.203,13.8
1999.23,16.2
1999.257,16.8
1999.284,16
1999.339,15.3
1999.366,14.5
1999.393,13.3
1999.42,16.8
1999.447,14.2
1999.474,15.1
1999.502,16.7
1999.529,16.9
1999.556,15.2
1999.583,17.1
1999.61,14.4
1999.637,18.1
1999.692,15.5
1999.719,18.8
1999.746,17.5
1999.773,20.6
1999.801,19.4
1999.828,16.4
1999.855,14.4
1999.882,17.3
1999.909,17.6
1999.963,21.1
1999.991,20.9
2000.018,18
2000.045,19.4
2000.072,22.6
2000.099,19.5
2000.126,17.7
2000.153,19.4
2000.18,17.7
2000.207,16.9
2000.235,22.2
2000.289,18.1
2000.316,17.8
2000.343,15.8
2000.37,17
2000.397,17.6
2000.424,18.7
2000.451,18.1
2000.478,15.9
2000.505,17
2000.533,19.7
2000.587,17.5
2000.614,17.8
2000.641,19.6
2000.668,14.7
2000.695,16.6
2000.722,23
2000.749,24.4
2000.776,22.7
2000.803,19.4
2000.858,21.4
2000.884,21.7
2000.913,21.6
2000.939,19.5
2000.966,18.8
2000.993,22.8
2001.02,22.8
2001.075,23
2001.102,21.2
2001.129,18.7
2001.156,22.7
2001.183,26.2
2001.21,21.7
2001.238,25.4
2001.265,24.6
2001.292,24.8
2001.319,22.8
2001.346,23.1
2001.373,25.1
2001.401,23.9
2001.428,22.1
2001.455,20.9
2001.482,27.2
2001.509,28
2001.536,29.7
2001.564,25.9
2001.591,28.8
2001.618,23.8
2001.645,23.3
2001.672,24.9
2001.699,29.6
2001.727,29
2001.754,28
2001.781,23.3
2001.808,21.4
2001.835,26.7
2001.862,29
2001.89,26.4
2001.917,23.5
2001.944,23.2
2001.971,23.7
2001.998,28.4
2002.026,25.3
2002.052,22.1
2002.081,28.6
2002.107,28.8
2002.134,29.4
2002.161,28.6
2002.189,22.9
2002.216,24.8
2002.243,23.5
2002.27,28.7
2002.297,24.3
2002.324,25.4
2002.351,25.1
2002.379,27
2002.406,26.5
2002.433,24.1
2002.46,27.2
2002.487,30
2002.514,27.6
2002.542,29.5
2002.569,31.2
2002.596,31.6
2002.623,32.8
2002.65,28.8
2002.677,26.7
2002.705,27
2002.732,29.2
2002.759,28
2002.786,31.5
2002.813,34.9
2002.84,28.2
2002.868,28.8
2002.893,32.3
2002.922,30.8
2002.949,31.1
2002.976,29.5
2003.003,28.4
2003.031,28
2003.058,33.9
2003.085,33.3
2003.112,35.8
2003.139,30.4
2003.166,28.7
2003.194,30.9
2003.221,31.7
2003.248,30.7
2003.279,30.3
2003.302,28.5
2003.329,29.5
2003.357,30.8
2003.384,31.2
2003.411,31.1
2003.438,28.9
2003.465,30.3
2003.492,27.8
2003.52,28.3
2003.547,32.1
2003.574,30.3
2003.601,30.9
2003.628,27.8
2003.655,30.2
2003.683,32.3
2003.71,32
2003.737,31.8
